id,url,path
272.0,https://www.francetvinfo.fr/economie/wauquiez-la-politique-de-l-emploi-va-se-renforcer_246701.html,dataset/files/doc_272.txt
273.0,https://www.frederique-dumas.com/blog/fr/tag/reussite/page/2/,dataset/files/doc_273.txt
274.0,https://www.gaiaformation.com/les-fruitiers/,dataset/files/doc_274.txt
276.0,https://www.gamehope.com/xone/19730-the-witcher-3-wild-hunt/preview_1319.html,dataset/files/doc_276.txt
290.0,https://www.hdot.org/debunking-denial/chambres-a-gaz-de-loperation-reinhard-conception-des-chambres-a-gaz/?lang=fr,dataset/files/doc_290.txt
294.0,https://www.horizonspublics.fr/recherche?f%5B0%5D=auteur%3A1577&f%5B1%5D=rubrique%3A12,dataset/files/doc_294.txt
295.0,https://www.horizonspublics.fr/recherche?f%5B0%5D=auteur%3A1614&f%5B1%5D=thematiques%3A4,dataset/files/doc_295.txt
314.0,https://www.ladresse-arbeau.com//content/25/faq-location.html,dataset/files/doc_314.txt
319.0,https://www.lavant-trou.com/produit/coffret-lavant-trou-protector/,dataset/files/doc_319.txt
326.0,https://www.lescheminsdelintuition.com/ma-formation-en-voyance-epoustouflant/,dataset/files/doc_326.txt
331.0,https://www.lianescooperation.org/formation/formation-1er-accueil-ready-to-move/,dataset/files/doc_331.txt
334.0,https://www.licata.be/fr/vins/monleale/13324/,dataset/files/doc_334.txt
342.0,https://www.luxepackmonaco.com/conferences/intervenants/?id_intervenant=interv-2995,dataset/files/doc_342.txt
347.0,https://www.magrh.reconquete-rh.org/index.php/articles/2-uncategorised/573-finances-et-ressources-humaines-reconcilier-les-freres-ennemis,dataset/files/doc_347.txt
351.0,https://www.maohitribune.com/Valerie-Sachs-rend-hommage-a-sa-facon-a-Pierre-Christian-Taittinger_a5873.html,dataset/files/doc_351.txt
360.0,https://www.meamedica.fr/tension-arterielle-beta-bloquant/sotalol/hypertension?sortOrder=1,dataset/files/doc_360.txt
365.0,https://www.mini-btp.com/pelles-sur-pneus.php,dataset/files/doc_365.txt
375.0,https://www.nicolas-aubineau.com/boisson-de-leffort-maison/boisson-de-leffort/,dataset/files/doc_375.txt
377.0,https://www.observatoire-qatar.com/la-lune-occupe-le-devant-de-la-scene-samedi-soir/,dataset/files/doc_377.txt
381.0,https://www.osteopathe-anne-ollivier.fr/actualites_al.html?page=2,dataset/files/doc_381.txt
394.0,https://www.projets-informatiques.com/ads/chef-de-projet-acquisition-fidelisation-hf,dataset/files/doc_394.txt
395.0,https://www.psychoactif.org/forum/p564541-p1-aout-2021-02-26.html,dataset/files/doc_395.txt
401.0,https://www.re-connect.fr/penseesetmeditation/,dataset/files/doc_401.txt
415.0,https://www.saintmalodeguersac.fr/ma-ville/tourisme/sites-touristiques/?OKSES=70fb915daa4c8c3a46990ee46e95641e,dataset/files/doc_415.txt
425.0,https://www.science-ouverte.cnrs.fr/en/,dataset/files/doc_425.txt
431.0,https://www.senat.fr/seances/s201301/s20130118/s20130118017.html,dataset/files/doc_431.txt
440.0,https://www.soins-des-auras.com/seance-energetique,dataset/files/doc_440.txt
449.0,https://www.technicv.com/offre-emploi/12010920191/conducteur-de-travaux-h-f-r%EF%BF%BDf-1035239,dataset/files/doc_449.txt
454.0,https://www.trictrac.net/jeu-de-societe/liste/editeur-distributeur/editions-daniel-briand,dataset/files/doc_454.txt
459.0,https://www.unige.ch/fapse/publications-ssed/evenements/archives/salon-2020/,dataset/files/doc_459.txt
461.0,https://www.vexilla-galliae.fr/civilisation/histoire/les-relations-eglise-etat-en-espagne-depuis-1814-partie-1-la-dynastie-elisabethaine-et-le-liberalisme/,dataset/files/doc_461.txt
466.0,https://www.ville.metabetchouan.qc.ca/index?id_lists_item1=403&doccenters_year5=2017,dataset/files/doc_466.txt
494.0,http://cadtm.org/La-PAC-et-l-endettement-des,dataset/files/doc_494.txt
506.0,http://cryfil.eklablog.com/mistral-mer-dechainee-a201651326?reply_comm=98387844,dataset/files/doc_506.txt
515.0,http://espaces-naturels.info/chercher/revue/2/rubrique/pedagogie-animation-16/rubrique/dossier-1/revue/53/rubrique/gestion-patrimoniale-15/revue/69,dataset/files/doc_515.txt
519.0,http://familyandthecity.com/?p=5348&replytocom=24176,dataset/files/doc_519.txt
520.0,http://familyandthecity.com/?p=7637&replytocom=34792,dataset/files/doc_520.txt
525.0,http://fr.worker-participation.eu/Systemes-nationaux/Pays/Royaume-Uni/Participation-financiere-des-salaries/Cadre-juridique,dataset/files/doc_525.txt
528.0,http://gizmatik.herokuapp.com/post/cv-template-word-behance,dataset/files/doc_528.txt
529.0,http://granitelei.herokuapp.com/post/comment-creer-un-cv-original-word,dataset/files/doc_529.txt
530.0,http://granitelei.herokuapp.com/post/cv-modele-aide-a-la-personne-maison-de-retraite,dataset/files/doc_530.txt
531.0,http://granitelei.herokuapp.com/resume/exemple-de-cv-vendeur-en-bijouterie,dataset/files/doc_531.txt
532.0,http://hellomarketing.me/r%C3%A9f%C3%A9rencement-naturel-seo.aspx,dataset/files/doc_532.txt
537.0,http://konfucius.herokuapp.com/post/cv-au-lieu-de-formation-diplome-obtenu,dataset/files/doc_537.txt
538.0,http://laboratoiredugeste.com/index.php/member/ecrire/IMG/jpg/IMG/rtf/plugins/thickbox2/javascript/ecrire/ecrire/spip.php?article217,dataset/files/doc_538.txt
541.0,http://lambercier.unblog.fr/henri-fesse-tout-nu-devant-la-classe/comment-page-1/?replytocom=16207,dataset/files/doc_541.txt
542.0,http://laxcaps.com/manual/fr/mod/mod_authn_anon.html,dataset/files/doc_542.txt
544.0,http://liroethenite.herokuapp.com/post/comment-indiquer-son-toefl-sur-cv,dataset/files/doc_544.txt
546.0,http://marielouvet.eu/stupeurs-effondrement-maux-pour-le-dire/,dataset/files/doc_546.txt
548.0,http://mechanicexpert.herokuapp.com/resume/online-cv-builder,dataset/files/doc_548.txt
551.0,http://metz-nord-patrotte.info/pose-de-la-premiere-pierre-de-lagora-a-la-patrotte/,dataset/files/doc_551.txt
552.0,http://minervas.herokuapp.com/post/commont-faire-un-bon-cv,dataset/files/doc_552.txt
553.0,http://mysecondlife2.overblog.com/archive/2013-05/,dataset/files/doc_553.txt
557.0,http://odf.univ-paris13.fr/fr/offre-de-formation/feuilleter-le-catalogue-1/arts-lettres-langues-ALL/licence-lmd-XA/licence-mention-langues-litteratures-et-civilisations-etrangeres-et-regionales-llcer-parcours-anglais-program-ll7ang-116-2-2/licence-3-llcer-parcours-anglais-subprogram-l3ang-117/l3-anglais-L3ANG/semestre-5-licence-3eme-annee-anglais-L3ANGW5B/parcours-langue-et-traduction-licence-3eme-annee-anglais-s5-L3AN5LTR/ue-civilisation-l3anglais-semestre-5-L3AN5CIV.html,dataset/files/doc_557.txt
566.0,http://savoie-antinucleaire.fr/tag/pacifique/,dataset/files/doc_566.txt
574.0,http://videjaby.blog.free.fr/index.php?post/2020/05/25/Meilleurs-livres-%C3%A0-lire-t%C3%A9l%C3%A9chargement-gratuit-pdf-La-vie-secr%C3%A8te-des-%C3%A9crivains,dataset/files/doc_574.txt
578.0,http://www.a-droite-fierement.fr/moi-personnellement-jappelle-ca-une-femme/?replytocom=21483,dataset/files/doc_578.txt
597.0,http://www.code-sante-publique.fr/partie-legislative-s6103419/troisieme-partie-lutte-contre-maladies-dependances-s6125347/livre-ii-lutte-contre-maladies-mentales-s6140615/titre-ii-organisation-s6155033/chapitre-ii-etablissements-sante-charges-assurer-soins-psychiatriques-sans-consentement-s31928484/,dataset/files/doc_597.txt
598.0,http://www.comminges-actu.com/2017/07/salies-du-salat-des-accueils-pour-les-vacances-de-3-ans-a-18-ans.html,dataset/files/doc_598.txt
605.0,http://www.exodoxe.fr/viewtopic.php?p=19428&sid=d2ad0f6617dd1747cd07e966e50bf28c,dataset/files/doc_605.txt
607.0,http://www.frain-immobilier.fr/immobilier/appartement-t4-vente-fr_VA2016.htm,dataset/files/doc_607.txt
612.0,http://www.hac-foot.com/forum/faq.php?sid=943d6adec4b54df93c8c14add661b0f3,dataset/files/doc_612.txt
629.0,http://www.lesfoliesdalina.fr/category/atmospheres/,dataset/files/doc_629.txt
